Name,Platform,DOIs,Citations,License,Categories
SiCeLoRe,Java,"10.1038/s41467-020-17800-6, 10.1101/831495",117,MIT,"Allele Specific, Alternative Splicing, UMIs, Variants"
scGAN,Python,"10.1038/s41467-019-14018-z, 10.1101/390153",116,MIT,Simulation
SoptSC,MATLAB,"10.1093/nar/gkz204, 10.1101/168922",115,MIT,"Clustering, Dimensionality Reduction, Ordering, Visualisation"
BayesPrism,R,"10.1038/s43018-022-00356-3, 10.1101/2020.01.07.897900",114,GPL-2.0-or-later,"Dimensionality Reduction, Integration"
decoupler,Python,"10.1093/bioadv/vbac016, 10.1101/2021.11.04.467271",114,GPL-3.0,"Gene Networks, Visualisation"
scGNN,Python,"10.1038/s41467-021-22197-x, 10.1101/2020.08.02.233569",114,MIT,"Clustering, Imputation, Variable Genes"
TRUST4,C/C++,10.1038/s41592-021-01142-2,114,GPL-3.0,"Assembly, Immune"
reCAT,R,10.1038/s41467-017-00039-z,110,'-,"Cell Cycle, Clustering, Ordering, Visualisation"
glmGamPoi,R/C++,"10.1093/bioinformatics/btaa1009, 10.1101/2020.08.13.249623",109,GPL-3.0,"Differential Expression"
Scribe,Python,"10.1016/j.cels.2020.02.003, 10.1101/426981",109,BSD-3-Clause,"Gene Networks, Visualisation"
Augur,R,"10.1038/s41587-020-0605-1, 10.1038/s41596-021-00561-x, 10.1101/2019.12.20.884916",108,MIT,"Dimensionality Reduction, Perturbations, Simulation, Variable Genes, Visualisation"
CellTagR,R,"10.1038/s41596-019-0247-2, 10.1101/335547, 10.1186/s13059-019-1699-y",107,MIT,"Quality Control, Quantification, UMIs, Visualisation"
CSN,MATLAB,10.1093/nar/gkz172,107,'-,"Gene Networks"
ICELLNET,R,"10.1038/s41467-021-21244-x, 10.1101/2020.03.05.976878",107,GPL-3.0,"Gene Networks, Visualisation"
LEAP,R,10.1093/bioinformatics/btw729,107,GPL-2.0,"Gene Networks, Ordering"
DeLorean,R,"10.1093/bioinformatics/btw372, 10.1101/019588",105,MIT,"Expression Patterns, Gene Filtering, Ordering, Visualisation"
BRIE,Python,"10.1101/098517, 10.1101/2020.11.04.368019, 10.1186/s13059-017-1248-5, 10.1186/s13059-021-02461-5",104,Apache-2.0,"Alternative Splicing, Quantification"
SinNLRR,MATLAB,10.1093/bioinformatics/btz139,104,'-,"Clustering, Dimensionality Reduction, Normalisation"
slalom,R/Python,"10.1101/087775, 10.1186/s13059-017-1334-8",104,Apache-2.0,"Dimensionality Reduction, Gene Sets, Variable Genes, Visualisation"
UnionCom,Python,"10.1093/bioinformatics/btaa443, 10.1101/2020.02.02.931394",101,MIT,Integration
MELD,Python,"10.1038/s41587-020-00803-5, 10.1101/532846",99,GPL-3.0,"Clustering, Dimensionality Reduction, Integration, Perturbations"
scPipe,R/C++,"10.1101/175927, 10.1371/journal.pcbi.1006361",99,GPL-2.0-or-later,"Alignment, Quality Control, Quantification, Simulation, UMIs, Visualisation"
solo,Python,"10.1016/j.cels.2020.05.010, 10.1101/841981",99,MIT,"Quality Control, Visualisation"
dropClust,R/C++,"10.1093/bioinformatics/btz823, 10.1093/nar/gky007, 10.1101/170308, 10.1101/596924",98,GPL-3.0,"Clustering, Differential Expression, Dimensionality Reduction, Normalisation, Variable Genes, Visualisation"
scisorseqr,R/Shell/Awk/Python,"10.1038/s41467-020-20343-5, 10.1101/2020.08.27.268730",98,MIT,"Alignment, Alternative Splicing, Quantification"
Symphony,R/C++,"10.1038/s41467-021-25957-x, 10.1101/2020.11.18.389189",98,GPL-3.0,Classification
nimfa,Python/R,10.1093/bioinformatics/btw607,96,BSD-3-Clause,"Clustering, Dimensionality Reduction, Visualisation"
scCODA,Python,"10.1038/s41467-021-27150-6, 10.1101/2020.12.14.422688",96,BSD-3-Clause,Modality
SAMstrt,R,10.1093/bioinformatics/btt511,94,LGPL-3.0,"Differential Expression, Normalisation"
GRNVBEM,MATLAB,10.1093/bioinformatics/btx605,93,'-,"Gene Networks"
scAI,R/MATLAB,10.1186/s13059-020-1932-8,93,GPL-3.0,"Clustering, Dimensionality Reduction, Integration, Marker Genes, Visualisation"
scClustBench,R/C++,10.1093/bib/bby076,93,'-,"Clustering, Visualisation"
scIGANs,Python/R,"10.1093/nar/gkaa506, 10.1101/2020.01.20.913384",93,GPL-3.0,Imputation
CellCall,R,10.1093/nar/gkab638,91,Artistic-2.0,"Gene Networks, Gene Sets, Visualisation"
SingleCellSignatureExplorer,GO/R,"10.1093/nar/gkz601, 10.1101/621805",91,'-,"Gene Sets, Visualisation"
BERMUDA,Python/R,"10.1101/641191, 10.1186/s13059-019-1764-6",90,MIT,Integration
geosketch,Python,"10.1016/j.cels.2019.05.003, 10.1101/536730",90,MIT,"Dimensionality Reduction"
scBio,R,10.1038/s41592-019-0355-5,90,GPL-2.0,Integration
MPSSC,MATLAB,10.1093/bioinformatics/bty050,89,GPL-3.0,Clustering
SAFE,R,"10.1093/bioinformatics/bty793, 10.1101/215723",89,'-,Clustering
scenicplus,Python,"10.1038/s41592-023-01938-4, 10.1101/2022.08.19.504505",89,'-,"Clustering, Differential Expression, Dimensionality Reduction, Gene Networks, Integration, Quality Control, Visualisation"
VIPER,R/C++,10.1186/s13059-018-1575-1,89,MIT,"Imputation, Visualisation"
ccRemover,R,"10.1038/srep33892, arxiv/1605.04492",88,GPL-3.0,"Cell Cycle"
clonealign,R,"10.1101/344309, 10.1186/s13059-019-1645-z",88,Apache-2.0,"Integration, Variants, Visualisation"
D3E,Python,"10.1101/020735, 10.1186/s12859-016-0944-6",86,GPL-3.0,"Differential Expression"
FiRE,Python/C++/R,10.1038/s41467-018-07234-6,86,GPL-3.0,"Dimensionality Reduction, Rare Cells, Variable Genes, Visualisation"
scClassify,R,"10.1101/776948, 10.15252/msb.20199389",86,GPL-3.0,"Classification, Visualisation"
CaSpER,R,10.1038/s41467-019-13779-x,85,'-,"Variants, Visualisation"
CSOmap,MATLAB,"10.1038/s41422-020-0353-2, 10.1101/2020.02.13.948521",85,MIT,"Gene Networks"
pseudodynamics,MATLAB,"10.1038/s41587-019-0088-0, 10.1101/219188",85,GPL-3.0,Ordering
MARS,Python,"10.1038/s41592-020-00979-3, 10.1101/2020.02.25.960302",84,MIT,"Classification, Dimensionality Reduction, Integration"
NBID,R,10.1186/s13059-018-1438-9,84,MIT,"Differential Expression"
SCCAF,Python,"10.1038/s41592-020-0825-9, arxiv/2004.09847",84,MIT,"Clustering, Visualisation"
SymSim,R,"10.1038/s41467-019-10500-w, 10.1101/378646",84,Artistic-2.0,"Simulation, Visualisation"
VDJPuzzle,Python/Shell,"10.1093/bioinformatics/bty203, 10.1101/181156",84,Custom,"Alignment, Assembly, Immune, Quantification, Visualisation"
BASIC,Python,10.1093/bioinformatics/btw631,83,MIT,"Assembly, Immune"
CONICS,R/Python,10.1093/bioinformatics/bty316,83,'-,"Integration, Variants, Visualisation"
SCRABBLE,R/C++/MATLAB,10.1186/s13059-019-1681-8,82,GPL-3.0,"Imputation, Visualisation"
SCSA,Python,"10.1101/2019.12.22.886481, 10.3389/fgene.2020.00490",82,GPL-3.0,"Classification, Gene Sets"
SCALE,R,"10.1101/109629, 10.1186/s13059-017-1200-8",81,GPL-3.0,"Allele Specific"
scHPF,Python,"10.1101/2023.12.05.570193, 10.1101/367003, 10.15252/msb.20188557",81,BSD-2-Clause,"Dimensionality Reduction, Expression Patterns"
SciBet,R/C++,"10.1038/s41467-020-15523-2, 10.1101/645358",81,BSD-3-Clause,"Classification, Variable Genes"
BraCeR,Python/R,"10.1038/s41592-018-0082-3, 10.1101/185504",80,Apache-2.0,"Alignment, Assembly, Immune, Quantification, Visualisation"
GRM,R,10.1093/bioinformatics/btv122,80,'-,Normalisation
ItClust,Python,"10.1038/s42256-020-00233-7, 10.1101/2020.02.02.931139",80,'-,"Classification, Clustering"
scEpath,MATLAB,10.1093/bioinformatics/bty058,80,'-,"Clustering, Dimensionality Reduction, Expression Patterns, Gene Networks, Normalisation, Ordering, Quality Control, Visualisation"
scirpy,Python,"10.1093/bioinformatics/btaa611, 10.1101/2020.04.10.035865",80,BSD-3-Clause,"Immune, Visualisation"
scMatch,Python,10.1093/bioinformatics/btz292,80,MIT,"Classification, Gene Sets"
densVis,Python/MATLAB/C++,"10.1038/s41587-020-00801-7, 10.1101/2020.05.12.077776",79,MIT,"Dimensionality Reduction"
FLAMES,Python/C/C++/R,"10.1101/2020.08.10.243543, 10.1186/s13059-021-02525-6",79,GPL-3.0,"Alignment, Quantification, UMIs, Variants"
knn_smooth,Python/R/MATLAB,10.1101/217737,78,'-,Imputation
PhenoPath,R,"10.1038/s41467-018-04696-6, 10.1101/159913",78,Apache-2.0,"Ordering, Simulation"
Hotspot,Python,"10.1016/j.cels.2021.04.005, 10.1101/2020.02.06.937805",77,MIT,"Gene Sets, Marker Genes, Visualisation"
bayNorm,R/C++,"10.1093/bioinformatics/btz726, 10.1101/384586",76,GPL-2.0-or-later,"Imputation, Normalisation, Simulation"
Cell-BLAST,Python,"10.1038/s41467-020-17281-7, 10.1101/587360",76,MIT,"Classification, Visualisation"
iSEE,R,10.12688/f1000research.14966.1,76,MIT,"Interactive, Visualisation"
scAlign,Python/R,"10.1101/504944, 10.1186/s13059-019-1766-4",76,GPL-3.0,"Dimensionality Reduction, Integration, Rare Cells"
CaSTLe,R,10.1371/journal.pone.0205499,75,'-,Classification
DESCEND,R,"10.1073/pnas.1721085115, 10.1101/227033",75,GPL-2.0-or-later,"Differential Expression, Modality, Variable Genes, Visualisation"
dittoSeq,R,10.1093/bioinformatics/btaa1011,75,MIT,Visualisation
cellAlign,R/C++,10.1038/nmeth.4628,73,Custom,"Expression Patterns, Normalisation, Ordering, Visualisation"
CellRouter,R,10.1038/s41467-018-03214-y,73,'-,"Clustering, Dimensionality Reduction, Expression Patterns, Marker Genes, Normalisation, Ordering, Quality Control, Visualisation"
CoGAPs,R/C++,10.1093/bioinformatics/btq503,73,BSD-3-Clause,"Dimensionality Reduction, Gene Sets, Visualisation"
ShinyCell,R,"10.1093/bioinformatics/btab209, 10.1101/2020.10.25.354100",73,GPL-3.0,"Interactive, Visualisation"
TRAPeS,Python,"10.1093/nar/gkx615, 10.1101/072744",73,Custom,"Immune, Quantification"
CMFImpute,MATLAB,10.1093/bioinformatics/btaa109,72,'-,Imputation
bigSCale,MATLAB,"10.1101/197244, 10.1101/gr.230771.117",71,'-,"Clustering, Differential Expression, Marker Genes, Normalisation, Visualisation"
CellID,R/C++,"10.1038/s41587-021-00896-6, 10.1101/2020.07.23.215525",71,GPL-3.0,"Classification, Dimensionality Reduction, Gene Sets, Visualisation"
PARC,Python,"10.1093/bioinformatics/btaa042, 10.1101/765628",71,MIT,Clustering
SCORPIUS,R,10.1101/079509,71,GPL-3.0,"Dimensionality Reduction, Expression Patterns, Gene Networks, Ordering, Visualisation"
scTE,Python,"10.1038/s41467-021-21808-x, 10.1101/2020.07.23.218800",71,MIT,"Alignment, Quantification"
CellTree,R,10.1186/s12859-016-1175-6,70,Artistic-2.0,"Gene Sets, Ordering, Visualisation"
clustifyr,R,"10.1101/855064, 10.12688/f1000research.22969.1, 10.12688/f1000research.22969.2",70,MIT,"Classification, Variable Genes, Visualisation"
scJoint,Python/R,"10.1038/s41587-021-01161-6, 10.1101/2020.12.31.424916",70,'-,"Integration, Visualisation"
Spectre,R,"10.1002/cyto.a.24350, 10.1101/2020.10.22.349563",70,MIT,"Classification, Clustering, Differential Expression, Dimensionality Reduction, Expression Patterns, Immune, Integration, Marker Genes, Normalisation, Ordering, Quality Control, Rare Cells, Stem Cells"
scBERT,Python,"10.1038/s42256-022-00534-z, 10.1101/2021.12.05.471261",69,GPL-3.0,Classification
scDHA,R/C++,"10.1038/s41467-021-21312-2, 10.1101/799817",69,GPL-3.0,"Classification, Clustering, Dimensionality Reduction, Gene Filtering, Ordering, Visualisation"
scFBA,MATLAB,"10.1101/256644, 10.1371/journal.pcbi.1006733",69,'-,"Gene Networks, Integration"
scAPA,R,10.1093/nar/gkz781,68,BSD-3-Clause,"Alternative Splicing"
dsb,R,"10.1038/s41467-022-29356-8, 10.1101/2020.02.24.963603",67,Custom,"Immune, Normalisation, Transformation"
SOUP,R,"10.1073/pnas.1817715116, 10.1101/285056",67,GPL-2.0-or-later,"Clustering, Ordering, Variable Genes, Visualisation"
CellTrek,R,"10.1038/s41587-022-01233-1, 10.1101/2021.11.24.469915",66,'-,"Integration, Interactive, Visualisation"
CoNGA,Python,"10.1038/s41587-021-00989-2, 10.1101/2020.06.04.134536",66,MIT,"Clustering, Immune, Visualisation"
dyngen,R,"10.1038/s41467-021-24152-2, 10.1101/2020.02.06.936971",66,GPL-3.0,"Simulation, Visualisation"
ROGUE,R,"10.1038/s41467-020-16904-3, 10.1101/819581",66,BSD-3-Clause,"Clustering, Gene Filtering, Quality Control, Visualisation"
scNym,Python,"10.1101/2020.06.04.132324, 10.1101/gr.268581.120",66,Apache-2.0,Classification
COMET,Python,"10.1101/655753, 10.15252/msb.20199005",65,BSD-3-Clause,"Marker Genes, Visualisation"
CPA,Python,"10.1101/2021.04.14.439903, 10.15252/msb.202211517",64,MIT,"Dimensionality Reduction, Perturbations"
Ikura,Shell,10.1038/s41590-019-0465-3,64,'-,"Alignment, Quality Control, Quantification, UMIs"
SINGE,MATLAB,"10.1016/j.celrep.2022.110333, 10.1101/534834",64,MIT,"Gene Networks"
Tobiko,Shell,10.1038/s41590-019-0465-3,64,'-,"Alignment, Immune, Quality Control, Quantification, UMIs"
cell2cell,Python,"10.1038/s41467-022-31369-2, 10.1101/2020.11.22.392217, 10.1101/2021.09.20.461129, 10.1371/journal.pcbi.1010715",63,BSD-3-Clause,"Gene Networks, Visualisation"
GRISLI,Matlab,"10.1093/bioinformatics/btaa576, 10.1101/464479",63,'-,"Gene Networks"
KPNN,Python/R/Shell,"10.1101/794503, 10.1186/s13059-020-02100-5",63,GPL-3.0,"Classification, Gene Networks"
Mpath,R,10.1038/ncomms11988,63,'-,Ordering
peco,R,"10.1101/526848, 10.1101/gr.247759.118",63,GPL-3.0,"Cell Cycle"
SERGIO,Python,"10.1016/j.cels.2020.08.003, 10.1101/716811",63,GPL-3.0,"Gene Networks, Simulation"
SWNE,R/C++,"10.1016/j.cels.2018.10.015, 10.1101/276261",63,BSD-3-Clause,"Dimensionality Reduction, Normalisation, Visualisation"
DIMMSC,R,"10.1093/bioinformatics/btx490, arxiv/1704.02007",62,GPL-2.0-or-later,"Clustering, Visualisation"
scMLnet,R/Python,10.1093/bib/bbaa327,62,GPL-2.0,"Gene Networks, Visualisation"
TASC,C++,"10.1093/nar/gkx754, 10.1101/116939",62,MIT,"Differential Expression, Normalisation, Quantification"
CiteFuse,R,"10.1093/bioinformatics/btaa282, 10.1101/854299",61,GPL-3.0,"Clustering, Differential Expression, Interactive, Quality Control, Visualisation"
Sierra,R,"10.1101/867309, 10.1186/s13059-020-02071-7",61,GPL-3.0,"Alternative Splicing, Visualisation"
VoxHunt,R,"10.1016/j.stem.2021.02.015, 10.1101/2020.01.06.896282",61,MIT,Visualisation
Cobolt,Python,"10.1101/2021.04.03.438329, 10.1186/s13059-021-02556-z",60,GPL-3.0,"Clustering, Dimensionality Reduction, Gene Filtering, Integration, Visualisation"
McImpute,MATLAB,"10.1101/361980, 10.3389/fgene.2019.00009",60,'-,"Gene Filtering, Imputation, Normalisation"
scGESTALT,Scala,"10.1038/s41596-018-0058-x, 10.1101/205534",60,'-,"Alignment, Interactive, Ordering, UMIs, Visualisation"
DIEM,R/C++,"10.1038/s41598-020-67513-5, 10.1101/786285",59,GPL-3.0,"Clustering, Gene Filtering, Quality Control, Visualisation"
speckle,R,"10.1093/bioinformatics/btac582, 10.1101/2021.11.28.470236",59,GPL-3.0,"Classification, Normalisation, Visualisation"
ESAT,Java,10.1101/gr.207902.116,58,'-,"Clustering, Dimensionality Reduction, Ordering, Quantification"
Granatum,Virtualbox,"10.1101/110759, 10.1186/s13073-017-0492-3",58,'-,"Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Gene Networks, Gene Sets, Interactive, Normalisation, Ordering, Quality Control, Visualisation"
pipeComp,R,"10.1101/2020.02.02.930578, 10.1186/s13059-020-02136-7",58,GPL-3.0,Visualisation
PyMINEr,Python,10.1016/j.celrep.2019.01.063,58,AGPL-3.0,"Clustering, Dimensionality Reduction, Gene Networks, Gene Sets, Visualisation"
rCASC,R/Docker,"10.1038/s41540-020-00162-6, 10.1093/gigascience/giz105, 10.1101/2020.05.26.117705, 10.1101/430967",58,GPL-3.0,"Alignment, Cell Cycle, Clustering, Dimensionality Reduction, Gene Filtering, Marker Genes, Normalisation, Quality Control, Quantification, UMIs, Visualisation"
scDeepSort,Python,"10.1093/nar/gkab775, 10.1101/2020.05.13.094953",58,GPL-3.0,Classification
cardelino,R,"10.1038/s41592-020-0766-3, 10.1101/413047",57,GPL-3.0-or-later,"Classification, Simulation, Variants, Visualisation"
Connectome,R,"10.1038/s41598-022-07959-x, 10.1101/2021.01.21.427529",57,GPL-3.0,"Dimensionality Reduction, Gene Networks, Visualisation"
GiniClust2,R,"10.1101/246439, 10.1186/s13059-018-1431-3",57,MIT,Clustering
ivis,Python/R,10.1038/s41598-019-45301-0,57,Apache-2.0,"Dimensionality Reduction"
pseudogp,R,"10.1101/047365, 10.1371/journal.pcbi.1005212",57,MIT,"Ordering, Visualisation"
scFEA,Python,"10.1093/nar/gkad444, 10.1101/2020.09.23.310656, 10.1101/2022.06.18.496660, 10.1101/gr.271205.120",57,MIT,"Gene Networks"
trVAE,Python,"10.1093/bioinformatics/btaa800, arxiv/1910.01791",57,MIT,"Dimensionality Reduction, Perturbations"
cellsnp-lite,C/Shell/Python/R,"10.1093/bioinformatics/btab358, 10.1101/2020.12.31.424913",56,Apache-2.0,Variants
Sanity,C++,"10.1038/s41587-021-00875-x, 10.1101/2019.12.28.889956",56,GPL-3.0,Normalisation
SCATTome,R,10.1038/leu.2015.361,56,GPL-3.0,Perturbations
BALDR,Perl,10.1186/s13073-018-0528-3,55,MIT,"Alignment, Assembly, Immune"
FastProject,Python,10.1186/s12859-016-1176-5,55,Custom,"Dimensionality Reduction, Gene Sets, Interactive, Visualisation"
netNMF-sc,Python,"10.1101/544346, 10.1101/gr.251603.119",55,BSD-3-Clause,"Dimensionality Reduction, Gene Networks, Imputation, Normalisation"
scSplit,Python,"10.1101/570614, 10.1186/s13059-019-1852-7",55,MIT,Variants
SHARP,R,"10.1101/461640, 10.1101/gr.254557.119",55,GPL-3.0,"Clustering, Dimensionality Reduction, Gene Filtering, Marker Genes, Normalisation, Visualisation"
TooManyCells,Haskell/Docker/R,"10.1038/s41592-020-0748-5, 10.1101/519660",55,GPL-3.0,"Clustering, Differential Expression, Rare Cells, Visualisation"
BABEL,Python,"10.1073/pnas.2023070118, 10.1101/2020.11.09.375550",54,'-,Integration
DeepSEM,Python,10.1038/s43588-021-00099-8,54,MIT,"Dimensionality Reduction, Gene Networks, Simulation"
scPhere,Python,"10.1038/s41467-021-22851-4, 10.1101/853457",54,BSD-3-Clause,"Dimensionality Reduction, Interactive, Ordering, Visualisation"
MUSIC,R,10.1038/s41467-019-10216-x,53,Apache-2.0,"Clustering, Perturbations, Quality Control, Visualisation"
scID,R,"10.1016/j.isci.2020.100914, 10.1101/470203",53,GPL-3.0,"Classification, Gene Sets, Marker Genes, Normalisation, Visualisation"
SLICE,R,10.1093/nar/gkw1278,53,GPL-3.0,Ordering
Cerebro,C/C++/R/JavaScript,"10.1093/bioinformatics/btz877, 10.1101/631705",52,MIT,"Gene Sets, Interactive, Visualisation"
GraphSCI,Python,"10.1016/j.isci.2021.102393, 10.1101/2020.02.05.935296",52,'-,Imputation
NanoPARE,Python/Shell/R/Perl,10.1101/gr.239202.118,52,GPL-3.0,Alignment
scSorter,R,10.1186/s13059-021-02281-7,52,GPL-3.0,Classification
SingleSplice,R/Perl/C++,10.1093/nar/gkv1525,52,GPL-2.0,"Alternative Splicing"
Spectrum,R,"10.1093/bioinformatics/btz704, 10.1101/636639",52,AGPL-3.0,"Clustering, Visualisation"
SCNS,Javascript/F#,10.1186/s12918-018-0581-y,51,MIT,"Gene Networks, Interactive, Ordering, Visualisation"
sincell,R,"10.1093/bioinformatics/btv368, 10.1101/014472",51,GPL-2.0-or-later,"Clustering, Dimensionality Reduction, Ordering, Visualisation"
BIRD,C++/R,"10.1038/s41467-017-01188-x, 10.1093/nar/gkz716, 10.1101/035808, 10.1101/035816",50,'-,Integration
BREM-SC,R,"10.1093/nar/gkaa314, 10.1101/2020.01.18.911461",50,'-,"Clustering, Integration"
SAM,Python,"10.1101/364166, 10.7554/eLife.48994",50,MIT,"Clustering, Dimensionality Reduction, Gene Filtering, Interactive, Marker Genes, Normalisation, Visualisation"
DC3,Python,10.1038/s41467-019-12547-1,49,'-,"Clustering, Integration"
DRA,Python,10.1186/s12859-020-3401-5,49,'-,"Dimensionality Reduction"
protaccel,Python,"10.1101/658401, 10.1186/s13059-020-1945-3",49,BSD-2-Clause,"Integration, Ordering"
scMM,R,"10.1016/j.crmeth.2021.100071, 10.1101/2021.02.18.431907, 10.2139/ssrn.3806072",49,MIT,Integration
SSrGE,Python,"10.1038/s41467-018-07170-5, 10.1101/095810",49,MIT,"Clustering, Integration, Variants"
BAMMSC,R/C++,"10.1038/s41467-019-09639-3, 10.1101/392662",48,GPL-2.0-or-later,"Clustering, Integration"
BTR,R,10.1186/s12859-016-1235-y,48,GPL-3.0,"Gene Networks, Visualisation"
NEBULA,R/C++,"10.1038/s42003-021-02146-6, 10.1101/2020.09.24.311662",48,GPL-2.0,"Differential Expression"
NSForest,Python,"10.1101/2020.09.23.308932, 10.1101/gr.275569.121",48,MIT,"Marker Genes"
scclusteval,R,"10.1093/bioinformatics/btaa956, 10.1101/2020.05.26.116640",48,MIT,"Clustering, Visualisation"
SCINET,R/C++,"10.1016/j.cels.2019.10.007, 10.1101/586859",48,GPL-2.0-or-later,"Gene Networks"
CytoTalk,MATLAB/R/Python,"10.1101/2020.03.29.014464, 10.1126/sciadv.abf1356",47,'-,"Gene Networks"
fishpond,R,"10.1093/nar/gkz622, 10.1101/561084",47,GPL-2.0,"Differential Expression, Normalisation, Visualisation"
QUBIC2,C++,"10.1093/bioinformatics/btz692, 10.1101/409961",47,'-,Clustering
robustSingleCell,R,"10.1016/j.celrep.2019.10.131, 10.1101/543199",47,MIT,"Clustering, Dimensionality Reduction, Integration, Normalisation, Visualisation"
scMVAE,Python,10.1093/bib/bbaa287,47,'-,"Dimensionality Reduction"
Tempora,R,"10.1101/846907, 10.1371/journal.pcbi.1008205",47,MIT,"Dimensionality Reduction, Gene Sets, Ordering, Visualisation"
BatchBench,Nextflow,"10.1093/nar/gkab004, 10.1101/2020.05.22.111211",46,MIT,"Integration, Quality Control, Visualisation"
rSuperCT,R,"10.1093/nar/gkz116, 10.1101/416719",46,GPL-2.0-or-later,"Classification, Visualisation"
scziDesk,Python,10.1093/nargab/lqaa039,46,'-,"Clustering, Dimensionality Reduction"
Moana,Python,10.1101/456129,45,'-,"Classification, Clustering, Dimensionality Reduction, Quality Control, Visualisation"
scDesign,R,"10.1093/bioinformatics/btz321, 10.1101/437095",45,GPL-2.0,Simulation
SCRL,C++,10.1093/nar/gkx750,45,'-,"Dimensionality Reduction, Gene Networks"
singleCellHaystack,R,"10.1038/s41467-020-17900-3, 10.1038/s41598-023-38965-2, 10.1101/2022.11.13.516355, 10.1101/557967",45,MIT,"Differential Expression, Marker Genes, Visualisation"
ACTION,C++/R/MATLAB,"10.1038/s41467-018-03933-2, 10.1101/081273",44,'-,"Clustering, Dimensionality Reduction, Gene Networks"
clusterExperiment,R,"10.1101/280545, 10.1371/journal.pcbi.1006378",44,Artistic-2.0,"Clustering, Marker Genes, Visualisation"
DIALOGUE,R,"10.1038/s41587-022-01288-0, 10.1101/2020.08.11.245472",44,'-,"Dimensionality Reduction"
Domino,R,"10.1038/s41551-021-00770-5, 10.1101/2020.07.24.218537",44,GPL-3.0,"Gene Networks, Visualisation"
LTMGSCA,R,"10.1093/nar/gkz655, 10.1101/430009",44,MIT,"Clustering, Differential Expression, Dimensionality Reduction, Modality, Transformation, Visualisation"
cTPnet,R/Python,"10.1038/s41467-020-14391-0, 10.1101/671180",43,GPL-3.0,"Imputation, Integration"
netsne,C++,"10.1016/j.cels.2018.05.017, 10.1101/289223",43,MIT,"Dimensionality Reduction"
Pamona,Python,"10.1093/bioinformatics/btab594, 10.1101/2020.11.03.366146",43,MIT,"Integration, Visualisation"
pyHSICLasso,Python,"10.1093/bioinformatics/btz333, 10.1101/532192",43,MIT,"Marker Genes"
SCell,MATLAB,10.1093/bioinformatics/btw201,43,GPL-1.0,"Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Interactive, Normalisation, Ordering, Quality Control, Visualisation"
scMAGeCK,R/Python,"10.1101/2023.10.30.564796, 10.1101/658146, 10.1186/s13059-020-1928-4",43,BSD-2-Clause,"Perturbations, Quantification, Variants"
ascend,R,"10.1093/gigascience/giz087, 10.1101/207704",42,GPL-3.0,"Cell Cycle, Clustering, Differential Expression, Dimensionality Reduction, Gene Filtering, Normalisation, Quality Control, Visualisation"
CoSpar,Python,"10.1038/s41587-022-01209-1, 10.1101/2021.05.06.443026",42,MIT,"Cell Cycle, Ordering, Variable Genes, Visualisation"
MuTrans,MATLAB,"10.1038/s41467-021-25548-w, 10.1101/2021.03.07.434281",42,'-,Ordering
PROSSTT,Python,"10.1093/bioinformatics/btz078, 10.1101/256941",42,GPL-3.0,Simulation
scDCC,Python,10.1038/s41467-021-22008-3,42,Apache-2.0,Clustering
scGeneFit,MATLAB,"10.1038/s41467-021-21453-4, 10.1101/599654",42,'-,"Marker Genes"
scRMD,R,"10.1093/bioinformatics/btaa139, 10.1101/459404",42,GPL-1.0,"Clustering, Dimensionality Reduction, Imputation, Simulation"
scTensor,R,"10.1101/2022.12.07.519225, 10.1101/566182, 10.1186/s12859-023-05490-y",42,Artistic-2.0,"Gene Networks, Visualisation"
chooseR,R,10.1186/s12859-021-03957-4,41,GPL-3.0,Clustering
DendroSplit,Python,"10.1101/191254, 10.1186/s12859-018-2092-7",41,CC-BY-NC-4.0,"Clustering, Gene Filtering, Normalisation"
SinQC,R/Python,10.1093/bioinformatics/btw176,41,'-,"Quality Control"
TILPRED,R,"10.1080/2162402X.2020.1737369, 10.1101/800847",41,GPL-3.0,"Classification, Immune"
GrandPrix,Python,"10.1093/bioinformatics/bty533, 10.1101/227843",40,Apache-2.0,"Dimensionality Reduction, Ordering"
LATE,Python,"10.1007/s40484-019-0192-7, 10.1101/504977",40,GPL-3.0,Imputation
MIND,R,"10.1101/2020.08.05.238949, 10.1101/gr.268722.120",40,GPL-1.0,Integration
Ouija,R,"10.1093/bioinformatics/bty498, 10.1101/060442",40,GPL-3.0-or-later,"Expression Patterns, Marker Genes, Ordering, Visualisation"
ouijaflow,Python,"10.1093/bioinformatics/bty498, 10.1101/060442",40,'-,"Expression Patterns, Ordering"
scCaps,Python,"10.1038/s42256-020-00244-4, 10.1101/570507",40,'-,"Clustering, Dimensionality Reduction, Gene Networks"
scPower,R,"10.1038/s41467-021-26779-7, 10.1101/2020.04.01.019851",40,GPL-3.0,"Interactive, Simulation"
scUnifrac,R,"10.1101/333393, 10.1371/journal.pbio.2006687",40,Apache-2.0,"Clustering, Dimensionality Reduction, Integration, Variable Genes, Visualisation"
tn_test,Python,"10.1016/j.cels.2019.07.012, 10.1101/463265",40,'-,"Differential Expression, Visualisation"
transformGamPoi,R,"10.1038/s41592-023-01814-1, 10.1101/2021.06.24.449781",40,GPL-3.0,"Normalisation, Transformation"
